timestamp,equity,price
2004-11-04,99927.5,54.45
2004-11-05,99927.5,54.72
2004-11-08,99927.5,54.38
2004-11-09,99927.5,54.05
2004-11-10,99927.5,54.75
2004-11-11,99927.5,55.3
2004-11-12,99927.5,55.5
2004-11-15,99927.5,55.24
2004-11-16,99927.5,54.935
2004-11-17,99927.5,54.9
2004-11-18,99927.5,55.39
2004-11-19,99927,55.17
2004-11-22,99927,61.35
2004-11-23,99927,61.27
2004-11-24,99927,64.05
2004-11-26,99927,64.55
2004-11-29,99927,68.44
2004-11-30,99927,67.05
2004-12-01,99927,67.79
2004-12-02,99927,65.21
2004-12-03,99926.5,62.68
2004-12-06,99926.5,65.78
2004-12-07,99926.5,62.89
2004-12-08,99926.5,63.28
2004-12-09,99926.5,63.99
2004-12-10,99926.5,65.15
2004-12-13,99926.5,64.91
2004-12-14,99926.5,65.29
2004-12-15,99926.5,65.26
2004-12-16,99926.5,66.596
2004-12-17,99926.5,64.99
2004-12-20,99926.5,62.72
2004-12-21,99926.5,63.69
2004-12-22,99926.5,63.75
2004-12-23,99926.5,64.01
2004-12-27,99926.5,63.16
2004-12-28,99926.5,64.18
2004-12-29,99926.5,64.44
2004-12-30,99926.5,64.8
2004-12-31,99926,64.4
2005-01-03,99926,63.29
2005-01-04,99926,63.94
2005-01-05,99926,64.5
2005-01-06,99926,64.55
2005-01-07,99926,69.25
2005-01-10,99926,68.96
2005-01-11,99926,64.56
2005-01-12,99926,65.46
2005-01-13,99926,69.8
2005-01-14,99926,70.2
2005-01-18,99926,70.65
2005-01-19,99926,69.88
2005-01-20,99926,70.46
2005-01-21,99926,70.49
2005-01-24,99926,70.76
2005-01-25,99926,72.05
2005-01-26,99926,72.25
2005-01-27,99926,72.64
2005-01-28,99926,73.98
2005-01-31,99926,76.9
2005-02-01,99926,77.53
2005-02-02,99926,79.63
2005-02-03,99926,77.81
2005-02-04,99926,78.84
2005-02-07,99926,78.94
2005-02-08,99926,80.9
2005-02-09,99926,78.74
2005-02-10,99925.5,78.36
2005-02-11,99925.5,81.21
2005-02-14,99925.5,84.63
2005-02-15,99925.5,88.41
2005-02-16,99925.5,90.13
2005-02-17,99925.5,87.81
2005-02-18,99925.5,86.81
2005-02-22,99925,85.29
2005-02-23,99925,88.23
2005-02-24,99925,88.93
2005-02-25,99925,88.99
2005-02-28,99925,44.86
2005-03-01,99925,44.5
2005-03-02,99924.5,44.121
2005-03-03,99924.5,41.79
2005-03-04,99924.5,42.81
2005-03-07,99924.5,42.75
2005-03-08,99924.5,40.53
2005-03-09,99924.5,39.35
2005-03-10,99924.5,39.83
2005-03-11,99924.5,40.27
2005-03-14,99924.5,40.32
2005-03-15,99924.5,40.96
2005-03-16,99924.5,41.18
2005-03-17,99924.5,42.25
2005-03-18,99924,42.96
2005-03-21,99924,43.7
2005-03-22,99924,42.83
2005-03-23,99924,42.55
2005-03-24,99924,42.5
2005-03-28,99924,42.53
2005-03-29,99924,41.75
2005-03-30,99923.5,42.8
2005-03-31,99923.5,41.67
2005-04-01,99923.5,40.89
2005-04-04,99923.5,41.09
2005-04-05,99923.5,41.89
2005-04-06,99923.5,42.33
2005-04-07,99923,43.56
2005-04-08,99923,43.74
2005-04-11,99923,41.92
2005-04-12,99923,42.66
2005-04-13,99923,41.04
2005-04-14,99923,37.26
2005-04-15,99923,35.35
2005-04-18,99923,35.62
2005-04-19,99922.5,37.09
2005-04-20,99922.5,35.51
2005-04-21,99922.5,37.14
2005-04-22,99922.5,35.5
2005-04-25,99922.5,36.98
2005-04-26,99922.5,36.19
2005-04-27,99922.5,35.95
2005-04-28,99922.5,35.54
2005-04-29,99922,36.06
2005-05-02,99922,36.43
2005-05-03,99922,36.21
2005-05-04,99922,37.15
2005-05-05,99922,36.68
2005-05-06,99922,37.24
2005-05-09,99922,36.97
2005-05-10,99922,36.42
2005-05-11,99922,35.61
2005-05-12,99922,34.13
2005-05-13,99922,34.77
2005-05-16,99922,35.55
2005-05-17,99922,35.36
2005-05-18,99922,35.84
2005-05-19,99922,37.55
2005-05-20,99922,37.55
2005-05-23,99922,39.76
2005-05-24,99922,39.7
2005-05-25,99922,39.78
2005-05-26,99921.5,40.74
2005-05-27,99921.5,40.56
2005-05-31,99921.5,39.7593
2005-06-01,99921.5,40.3
2005-06-02,99921.5,40.04
2005-06-03,99921.5,38.24
2005-06-06,99921.5,37.92
2005-06-07,99921.5,36.54
2005-06-08,99921,36.92
2005-06-09,99921,37.65
2005-06-10,99921,35.81
2005-06-13,99921,35.9
2005-06-14,99921,36
2005-06-15,99921,37.13
2005-06-16,99920.5,37.98
2005-06-17,99920.5,38.31
2005-06-20,99920.5,37.61
2005-06-21,99920.5,37.86
2005-06-22,99920.5,38.55
2005-06-23,99920.5,38.89
2005-06-24,99920,37.76
2005-06-27,99920,37.1
2005-06-28,99920,37.31
2005-06-29,99920,36.37
2005-06-30,99919.5,36.81
2005-07-01,99919.5,36.5
2005-07-05,99919.5,37.98
2005-07-06,99919.5,37.39
2005-07-07,99919,37.63
2005-07-08,99919,38.25
2005-07-11,99919,38.1
2005-07-12,99919,38.24
2005-07-13,99919,38.35
2005-07-14,99919,40.75
2005-07-15,99918.5,41.55
2005-07-18,99918.5,41.49
2005-07-19,99918.5,43.19
2005-07-20,99918.5,43.63
2005-07-21,99918,43.29
2005-07-22,99918,44
2005-07-25,99918,43.81
2005-07-26,99918,43.63
2005-07-27,99918,43.99
2005-07-28,99918,43.8
2005-07-29,99918,42.65
2005-08-01,99918,42.75
2005-08-02,99917.5,43.19
2005-08-03,99917.5,43.22
2005-08-04,99917.5,42.71
2005-08-05,99917.5,42.99
2005-08-08,99917.5,42.65
2005-08-09,99917.5,43.82
2005-08-10,99917.5,43.38
2005-08-11,99917.5,44
2005-08-12,99917.5,46.1
2005-08-15,99917.5,47.68
2005-08-16,99917.5,46.25
2005-08-17,99917.5,47.15
2005-08-18,99917.5,46.3
2005-08-19,99917.5,45.83
2005-08-22,99917.5,45.87
2005-08-23,99917.5,45.74
2005-08-24,99917.5,45.77
2005-08-25,99917.5,46.06
2005-08-26,99917.5,45.74
2005-08-29,99917.5,45.84
2005-08-30,99917.5,46.57
2005-08-31,99917.5,46.89
2005-09-01,99917.5,46.26
2005-09-02,99917,46.22
2005-09-06,99917,48.8
2005-09-07,99917,48.68
2005-09-08,99917,49.78
2005-09-09,99916.5,51.31
2005-09-12,99916.5,51.4
2005-09-13,99916.5,50.82
2005-09-14,99916,49.61
2005-09-15,99916,49.87
2005-09-16,99916,51.21
2005-09-19,99916,52.64
2005-09-20,99915.5,53.19
2005-09-21,99915.5,52.11
2005-09-22,99915.5,51.9
2005-09-23,99915.5,53.2
2005-09-26,99915,53.84
2005-09-27,99915,53.44
2005-09-28,99915,51.08
2005-09-29,99914.5,52.34
2005-09-30,99914.5,53.61
2005-10-03,99914.5,54.44
2005-10-04,99914.5,53.75
2005-10-05,99914.5,52.7801
2005-10-06,99914.5,51.7
2005-10-07,99914.5,51.3
2005-10-10,99914.5,50.37
2005-10-11,99914.5,51.59
2005-10-12,99914,49.25
2005-10-13,99914,53.74
2005-10-14,99914,54
2005-10-17,99914,53.44
2005-10-18,99914,52.21
2005-10-19,99914,54.94
2005-10-20,99914,56.14
2005-10-21,99914,55.66
2005-10-24,99913.5,56.79
2005-10-25,99913.5,56.1
2005-10-26,99913.5,57.03
2005-10-27,99913.5,55.41
2005-10-28,99913,54.47
2005-10-31,99913,57.59
2005-11-01,99913,57.5
2005-11-02,99913,59.95
2005-11-03,99912.5,61.8499
2005-11-04,99912.5,61.15
2005-11-07,99912.5,60.23
2005-11-08,99912.5,59.9
2005-11-09,99912.5,60.11
2005-11-10,99912.5,61.18
2005-11-11,99912.5,61.54
2005-11-14,99912.5,61.45
2005-11-15,99912,62.28
2005-11-16,99912,64.95
2005-11-17,99912,64.52
2005-11-18,99912,64.56
2005-11-21,99911.5,64.96
2005-11-22,99911.5,66.52
2005-11-23,99911.5,67.11
2005-11-25,99911.5,69.34
2005-11-28,99911,69.66
2005-11-29,99911,68.1
2005-11-30,99911,67.82
2005-12-01,99911,71.6001
2005-12-02,99910.5,72.63
2005-12-05,99910.5,71.82
2005-12-06,99910.5,74.05
2005-12-07,99910,73.95
2005-12-08,99910,74.08
2005-12-09,99910,74.3305
2005-12-12,99910,74.91
2005-12-13,99909.5,74.98
2005-12-14,99909.5,72.01
2005-12-15,99909.5,72.18
2005-12-16,99909.5,71.11
2005-12-19,99909.5,71.38
2005-12-20,99909.5,72.11
2005-12-21,99909.5,73.5
2005-12-22,99909.5,74.02
2005-12-23,99909.5,73.35
2005-12-27,99909.5,74.23
2005-12-28,99909.5,73.57
2005-12-29,99909.5,71.45
2005-12-30,99909.5,71.89
2006-01-03,99909.5,74.75
2006-01-04,99909.5,74.97
2006-01-05,99909.5,74.38
2006-01-06,99909.5,76.3
2006-01-09,99909.5,76.05
2006-01-10,99909.5,80.86
2006-01-11,99909.5,83.9
2006-01-12,99909.5,84.291
2006-01-13,99909.5,85.5899
2006-01-17,99909.5,84.7101
2006-01-18,99909.5,82.4901
2006-01-19,99909.5,79.035
2006-01-20,99909.5,76.089
2006-01-23,99909.5,77.67
2006-01-24,99909.5,76.04
2006-01-25,99909.5,74.2
2006-01-26,99909.5,72.33
2006-01-27,99909.5,72.03
2006-01-30,99909,75
2006-01-31,99909,75.51
2006-02-01,99909,75.42
2006-02-02,99909,72.1
2006-02-03,99908.5,71.847
2006-02-06,99908.5,67.3
2006-02-07,99908.5,67.6
2006-02-08,99908.5,68.81
2006-02-09,99908.5,64.95
2006-02-10,99908.5,67.31
2006-02-13,99908,64.71
2006-02-14,99908,67.645
2006-02-15,99908,69.22
2006-02-16,99908,70.57
2006-02-17,99908,70.29
2006-02-21,99908,69.08
2006-02-22,99908,71.32
2006-02-23,99908,71.75
2006-02-24,99908,71.46
2006-02-27,99908,70.99
2006-02-28,99908,68.49
2006-03-01,99908,69.1
2006-03-02,99908,69.61
2006-03-03,99908,67.72
2006-03-06,99908,65.48
2006-03-07,99908,66.31
2006-03-08,99908,65.66
2006-03-09,99908,63.93
2006-03-10,99908,63.19
2006-03-13,99908,65.68
2006-03-14,99908,67.32
2006-03-15,99908,66.23
2006-03-16,99908,64.31
2006-03-17,99908,64.66
2006-03-20,99907.5,63.99
2006-03-21,99907.5,61.81
2006-03-22,99907.5,61.67
2006-03-23,99907.5,60.16
2006-03-24,99907.5,59.96
2006-03-27,99907.5,59.51
2006-03-28,99907.5,58.71
2006-03-29,99907,62.33
2006-03-30,99907,62.75
2006-03-31,99907,62.72
2006-04-03,99906.5,62.65
2006-04-04,99906.5,61.17
2006-04-05,99906.5,67.21
2006-04-06,99906.5,71.24
2006-04-07,99906.5,69.79
2006-04-10,99906.5,68.67
