timestamp,high,low,volume,adj close,P,R1,R2,R3,S1,S2,S3,obv,volume_zscore,rsi,macd,macds,macdh,sma,lma,sema,lema,overnight_gap,return_lag_1,return_lag_3,return_lag_5,volatility,SR_K,SR_D,SR_RSI_K,SR_RSI_D,ATR,HL_PCT,PCT_CHG,close
2002-06-19,17.6,16.88,30526200,17.12,17.200000000000003,17.520000000000007,17.920000000000005,18.24000000000001,16.800000000000004,16.48,16.080000000000002,-241226200.0,4.097332182769578,11.688311686540743,-1.9756410256410213,-1.1999358974358987,-0.7757051282051226,22.028,23.434399999999997,21.408965401093603,22.732771127391683,-0.14845970813967835,-0.1503722084367245,-0.1482587064676617,-0.14783474365355898,0.03862052210960089,3.256445047445665,24.726985268733817,15.265032814689299,28.752781389010483,1.134285714285714,4.205607476635528,-15.03722084367245,17.12
2002-06-20,17.6,16.85,7082800,17.11,17.186666666666667,17.523333333333333,17.936666666666667,18.273333333333333,16.773333333333333,16.436666666666667,16.023333333333333,-248309000.0,0.0022657110479461858,12.93413173435836,-2.1212179487179483,-1.394928774928776,-0.7262891737891723,21.6675,23.283399999999993,20.999540124798976,22.51227029886652,0.0029163041957882383,-0.0005841121495328006,-0.16699123661148974,-0.12436028659160692,0.03682298331034708,3.9393939393342228,13.243908051241695,20.863835034331426,23.39436171340445,1.1185714285714283,4.383401519579193,-0.058411214953280055,17.11
2002-06-21,17.49,16.79,7949600,16.85,17.043333333333333,17.296666666666667,17.743333333333332,17.996666666666666,16.596666666666668,16.343333333333334,15.896666666666668,-256258600.0,0.14160206292083982,13.13868612914915,-2.2861538461538515,-1.5913960113960128,-0.6947578347578387,21.251,23.123199999999994,20.604345827199072,22.290220483224697,-0.00821600865796717,-0.015195791934541125,-0.1637717121588088,-0.1616915422885572,0.03647853363713469,0.9316770186191085,2.7091720017996654,32.907327339967836,23.012065062996186,1.106428571428571,4.154302670623141,-1.5195791934541125,16.85
2002-06-24,17.73,16.7,7713100,17.27,17.233333333333334,17.76666666666667,18.263333333333335,18.79666666666667,16.736666666666668,16.203333333333333,15.706666666666667,-248545500.0,0.05982606730846003,17.626321971248302,-2.3882692307692324,-1.7685398860398875,-0.6197293447293448,20.907000000000004,22.967399999999994,20.28678908175154,22.09334909172569,-0.004759080963253368,0.024925816023738667,0.008761682242990565,-0.1592015579357351,0.03766510062611532,8.728943338304306,4.533338098752545,50.63343598730141,34.80153278720022,1.1185714285714283,5.96409959467285,2.4925816023738667,17.27
2002-06-25,17.68,16.86,5378600,17.14,17.226666666666667,17.593333333333334,18.046666666666667,18.413333333333334,16.773333333333333,16.406666666666666,15.953333333333333,-253924100.0,-0.3824408991424952,17.48251747966485,-2.440576923076925,-1.9248433048433056,-0.5157336182336196,20.565,22.8102,19.987094883489487,21.899100107736444,0.007499314061896069,-0.007527504342790925,0.001753360607831711,-0.14937965260545893,0.03753025920082943,6.7381316997436915,5.4662506855557025,53.06495883154244,45.5352407196039,1.1385714285714283,4.784130688448076,-0.7527504342790925,17.14
2002-06-26,17.29,15.98,9981300,16.55,16.606666666666666,17.23333333333333,17.916666666666664,18.54333333333333,15.923333333333332,15.296666666666667,14.613333333333333,-263905400.0,0.3920398514346635,17.42160278462366,-2.536410256410253,-2.0632051282051282,-0.47320512820512484,20.1935,22.6264,19.659752513633347,21.689331476060506,-0.020036026760420496,-0.034422403733955664,-0.017804154302670683,-0.033294392523364524,0.03720595489369276,9.563758389101283,8.343611142383095,52.80993079443235,52.16944187109207,1.1471428571428568,7.9154078549848865,-3.4422403733955664,16.55
2002-06-27,17.27,16.42,4493900,17.06,16.916666666666668,17.413333333333334,17.766666666666666,18.263333333333332,16.563333333333336,16.06666666666667,15.713333333333338,-259411500.0,-0.6119252474257258,24.043062196930578,-2.5735897435897392,-2.1880199430199427,-0.3855698005697965,19.8365,22.4454,19.412157036144457,21.507789065234604,0.014397369266377469,0.03081570996978833,-0.012159814707585426,-0.0029222676797194813,0.03853629434963065,18.4300341293783,11.57730807274109,80.53161265761592,62.13550076119691,1.1199999999999994,4.982415005861653,3.081570996978833,17.06
2002-06-28,17.82,17.0,4818900,17.72,17.513333333333332,18.026666666666664,18.333333333333332,18.846666666666664,17.206666666666663,16.69333333333333,16.386666666666663,-254592600.0,-0.5341068274823914,28.970917221413927,-2.5172435897435896,-2.288283475783475,-0.2289601139601145,19.557499999999997,22.2916,19.25099922317832,21.359248317578345,0.0023419214450813458,0.0386869871043376,0.03383897316219353,0.05163204747774475,0.04038365641747909,30.419580419048586,19.47112431250939,99.99999999958615,77.78051448387814,1.1428571428571423,4.627539503386006,3.86869871043376,17.72
2002-07-01,17.88,17.05,3976600,17.06,17.33,17.609999999999996,18.159999999999997,18.439999999999994,16.779999999999998,16.5,15.95,-258569200.0,-0.6833783898016839,30.18648018155463,-2.4116025641025587,-2.3611894586894575,-0.05041310541310118,19.265,22.1332,19.04233263049467,21.19065034433998,-0.000564493382192653,-0.03724604966139955,0.03081570996978833,-0.012159814707585426,0.0407144797357526,22.641509433487567,23.830374660638153,99.99999999960598,93.51053755226934,1.1099999999999994,4.865181711606086,-3.724604966139955,17.06
2002-07-02,17.16,16.83,5449800,16.94,16.976666666666663,17.123333333333328,17.306666666666665,17.45333333333333,16.793333333333326,16.64666666666666,16.463333333333324,-264019000.0,-0.40971739297948984,31.09243696956429,-2.3976282051282034,-2.4080769230769223,0.010448717948718933,18.973000000000003,21.981399999999997,18.842110475209463,21.023958173973707,-0.0017600473889360546,-0.007033997655333968,-0.007033997655333968,-0.011668611435239118,0.04066040805634862,20.645161289878622,24.568750380804925,99.99999999961956,99.9999999996039,1.0757142857142854,1.9480519480519587,-0.7033997655333968,16.94
